"rango_edad","genero","total","dep"
"70-74",2,2578,7
"75-79",1,1529,7
"75-79",2,1521,7
"80+",1,1243,7
"80+",2,1645,7
"0-4",1,15724,8
"0-4",2,15444,8
"10-14",1,11783,8
"10-14",2,10884,8
"15-19",1,10239,8
"15-19",2,8866,8
"20-24",1,7687,8
"20-24",2,7157,8
"25-29",1,5966,8
"25-29",2,5856,8
"30-34",1,4556,8
"30-34",2,4123,8
"35-39",1,3789,8
"35-39",2,3659,8
"40-44",1,3080,8
"40-44",2,2919,8
"45-49",1,2917,8
"45-49",2,2722,8
"5-9",1,13764,8
"5-9",2,13084,8
"50-54",1,2353,8
"50-54",2,2094,8
"55-59",1,1819,8
"55-59",2,1538,8
"60-64",1,1370,8
"60-64",2,1267,8
"65-69",1,821,8
"65-69",2,757,8
"70-74",1,484,8
"70-74",2,521,8
"75-79",1,288,8
"75-79",2,280,8
"80+",1,242,8
"80+",2,314,8
"0-4",1,3497,9
"0-4",2,3354,9
"10-14",1,2239,9
"10-14",2,2165,9
"15-19",1,1941,9
"15-19",2,1600,9
"20-24",1,1480,9
"20-24",2,1278,9
"25-29",1,1406,9
"25-29",2,1206,9
"30-34",1,1183,9
"30-34",2,875,9
"35-39",1,1079,9
"35-39",2,728,9
"40-44",1,758,9
"40-44",2,487,9
"45-49",1,742,9
"45-49",2,490,9
"5-9",1,2876,9
"5-9",2,2728,9
"50-54",1,546,9
"50-54",2,303,9
"55-59",1,427,9
"55-59",2,215,9
"60-64",1,253,9
"60-64",2,137,9
"65-69",1,158,9
"65-69",2,100,9
"70-74",1,58,9
"70-74",2,57,9
"75-79",1,43,9
"75-79",2,29,9
"80+",1,33,9
"80+",2,22,9
