"rango_edad","sexo","total","dep"
"0-4","hombre",39340,1
"0-4","mujer",37872,1
"10-14","hombre",35606,1
"10-14","mujer",34039,1
"15-19","hombre",26213,1
"15-19","mujer",26556,1
"20-24","hombre",22546,1
"20-24","mujer",24154,1
"25-29","hombre",16671,1
"25-29","mujer",18024,1
"30-34","hombre",13667,1
"30-34","mujer",15139,1
"35-39","hombre",12611,1
"35-39","mujer",14177,1
"40-44","hombre",11381,1
"40-44","mujer",12506,1
"45-49","hombre",9642,1
"45-49","mujer",10565,1
"5-9","hombre",38402,1
"5-9","mujer",37271,1
"50-54","hombre",8216,1
"50-54","mujer",9287,1
"55-59","hombre",6894,1
"55-59","mujer",7212,1
"60-64","hombre",5576,1
"60-64","mujer",5974,1
"65-69","hombre",4633,1
"65-69","mujer",5824,1
"70-74","hombre",4212,1
"70-74","mujer",5648,1
"75-79","hombre",2350,1
"75-79","mujer",3040,1
"80-84","hombre",1422,1
"80-84","mujer",1938,1
"85-89","hombre",645,1
"85-89","mujer",868,1
"90-94","hombre",293,1
"90-94","mujer",454,1
"95-99","hombre",284,1
"95-99","mujer",370,1
"0-4","hombre",146193,2
"0-4","mujer",134379,2
"10-14","hombre",141253,2
"10-14","mujer",137774,2
"15-19","hombre",119766,2
"15-19","mujer",120251,2
"20-24","hombre",105995,2
"20-24","mujer",112881,2
"25-29","hombre",84784,2
"25-29","mujer",92258,2
"30-34","hombre",74486,2
"30-34","mujer",80758,2
"35-39","hombre",67204,2
"35-39","mujer",73983,2
"40-44","hombre",61576,2
"40-44","mujer",64586,2
"45-49","hombre",50952,2
"45-49","mujer",53343,2
"5-9","hombre",147035,2
"5-9","mujer",138556,2
"50-54","hombre",43529,2
"50-54","mujer",44254,2
"55-59","hombre",34239,2
"55-59","mujer",34090,2
"60-64","hombre",26034,2
"60-64","mujer",26789,2
"65-69","hombre",21843,2
"65-69","mujer",24460,2
"70-74","hombre",18291,2
"70-74","mujer",20658,2
"75-79","hombre",11417,2
"75-79","mujer",12958,2
"80-84","hombre",5562,2
"80-84","mujer",7080,2
"85-89","hombre",2734,2
"85-89","mujer",3514,2
"90-94","hombre",1022,2
"90-94","mujer",1370,2
"95-99","hombre",903,2
"95-99","mujer",1125,2
"0-4","hombre",80538,3
"0-4","mujer",74699,3
"10-14","hombre",90008,3
"10-14","mujer",86350,3
"15-19","hombre",78618,3
"15-19","mujer",77979,3
"20-24","hombre",70022,3
"20-24","mujer",73058,3
"25-29","hombre",52570,3
"25-29","mujer",54600,3
"30-34","hombre",44016,3
"30-34","mujer",46664,3
"35-39","hombre",38882,3
"35-39","mujer",42438,3
"40-44","hombre",34923,3
"40-44","mujer",36805,3
"45-49","hombre",28066,3
"45-49","mujer",30096,3
"5-9","hombre",94503,3
"5-9","mujer",90381,3
"50-54","hombre",22342,3
"50-54","mujer",24652,3
"55-59","hombre",18082,3
"55-59","mujer",19952,3
"60-64","hombre",14377,3
"60-64","mujer",16512,3
"65-69","hombre",11020,3
"65-69","mujer",14338,3
"70-74","hombre",9482,3
"70-74","mujer",12267,3
"75-79","hombre",6383,3
"75-79","mujer",8290,3
"80-84","hombre",3419,3
"80-84","mujer",5093,3
"85-89","hombre",1624,3
"85-89","mujer",2608,3
"90-94","hombre",745,3
"90-94","mujer",1032,3
"95-99","hombre",516,3
"95-99","mujer",865,3
"0-4","hombre",24151,4
"0-4","mujer",21584,4
"10-14","hombre",24560,4
"10-14","mujer",23652,4
"15-19","hombre",21834,4
"15-19","mujer",20986,4
"20-24","hombre",18115,4
"20-24","mujer",17910,4
"25-29","hombre",13694,4
"25-29","mujer",13869,4
"30-34","hombre",11385,4
"30-34","mujer",12067,4
"35-39","hombre",10172,4
"35-39","mujer",11574,4
"40-44","hombre",10143,4
"40-44","mujer",11006,4
"45-49","hombre",8466,4
"45-49","mujer",9282,4
"5-9","hombre",24141,4
"5-9","mujer",22759,4
"50-54","hombre",7131,4
"50-54","mujer",7786,4
"55-59","hombre",6037,4
"55-59","mujer",6120,4
"60-64","hombre",4446,4
"60-64","mujer",4643,4
"65-69","hombre",3942,4
"65-69","mujer",4690,4
"70-74","hombre",3407,4
"70-74","mujer",4138,4
"75-79","hombre",2100,4
"75-79","mujer",2564,4
"80-84","hombre",954,4
"80-84","mujer",1373,4
"85-89","hombre",424,4
"85-89","mujer",643,4
"90-94","hombre",136,4
"90-94","mujer",250,4
"95-99","hombre",122,4
"95-99","mujer",195,4
"0-4","hombre",51568,5
"0-4","mujer",48132,5
"10-14","hombre",47597,5
"10-14","mujer",45266,5
"15-19","hombre",33839,5
"15-19","mujer",34037,5
"20-24","hombre",25608,5
"20-24","mujer",27642,5
"25-29","hombre",19979,5
"25-29","mujer",22118,5
"30-34","hombre",18141,5
"30-34","mujer",19787,5
"35-39","hombre",16716,5
"35-39","mujer",19195,5
"40-44","hombre",15936,5
"40-44","mujer",18199,5
"45-49","hombre",14077,5
"45-49","mujer",15966,5
"5-9","hombre",51168,5
"5-9","mujer",49057,5
"50-54","hombre",11718,5
"50-54","mujer",13730,5
"55-59","hombre",9980,5
"55-59","mujer",11288,5
"60-64","hombre",8126,5
"60-64","mujer",9302,5
"65-69","hombre",7243,5
"65-69","mujer",10035,5
"70-74","hombre",6550,5
"70-74","mujer",9405,5
"75-79","hombre",3658,5
"75-79","mujer",5067,5
"80-84","hombre",1979,5
"80-84","mujer",2869,5
"85-89","hombre",851,5
"85-89","mujer",1285,5
"90-94","hombre",384,5
"90-94","mujer",550,5
"95-99","hombre",432,5
"95-99","mujer",533,5
"0-4","hombre",25051,6
"0-4","mujer",23725,6
"10-14","hombre",25150,6
"10-14","mujer",24572,6
"15-19","hombre",21855,6
"15-19","mujer",21392,6
"20-24","hombre",18125,6
"20-24","mujer",19031,6
"25-29","hombre",14174,6
"25-29","mujer",14990,6
"30-34","hombre",12579,6
"30-34","mujer",12746,6
"35-39","hombre",11235,6
"35-39","mujer",11525,6
"40-44","hombre",10025,6
"40-44","mujer",10064,6
"45-49","hombre",7803,6
"45-49","mujer",7874,6
"5-9","hombre",26687,6
"5-9","mujer",25535,6
"50-54","hombre",6226,6
"50-54","mujer",6320,6
"55-59","hombre",4854,6
"55-59","mujer",4852,6
"60-64","hombre",3656,6
"60-64","mujer",3738,6
"65-69","hombre",2837,6
"65-69","mujer",3305,6
"70-74","hombre",2337,6
"70-74","mujer",2826,6
"75-79","hombre",1382,6
"75-79","mujer",1639,6
"80-84","hombre",759,6
"80-84","mujer",973,6
"85-89","hombre",361,6
"85-89","mujer",450,6
"90-94","hombre",129,6
"90-94","mujer",220,6
"95-99","hombre",80,6
"95-99","mujer",144,6
"0-4","hombre",144691,7
"0-4","mujer",135201,7
"10-14","hombre",128679,7
"10-14","mujer",125678,7
"15-19","hombre",111367,7
"15-19","mujer",111353,7
"20-24","hombre",102917,7
"20-24","mujer",106206,7
"25-29","hombre",81249,7
"25-29","mujer",82942,7
"30-34","hombre",68208,7
"30-34","mujer",68275,7
"35-39","hombre",58297,7
"35-39","mujer",59108,7
"40-44","hombre",50244,7
"40-44","mujer",48113,7
"45-49","hombre",39271,7
"45-49","mujer",36270,7
"5-9","hombre",141247,7
"5-9","mujer",135045,7
"50-54","hombre",30001,7
"50-54","mujer",27944,7
"55-59","hombre",22669,7
"55-59","mujer",19945,7
"60-64","hombre",16396,7
"60-64","mujer",15000,7
"65-69","hombre",11735,7
"65-69","mujer",12323,7
"70-74","hombre",8472,7
"70-74","mujer",9350,7
"75-79","hombre",5440,7
"75-79","mujer",5858,7
"80-84","hombre",2542,7
"80-84","mujer",3137,7
"85-89","hombre",1166,7
"85-89","mujer",1496,7
"90-94","hombre",413,7
"90-94","mujer",659,7
"95-99","hombre",218,7
"95-99","mujer",346,7
"0-4","hombre",28402,8
"0-4","mujer",26601,8
"10-14","hombre",25989,8
"10-14","mujer",24439,8
"15-19","hombre",22388,8
"15-19","mujer",18954,8
"20-24","hombre",15895,8
"20-24","mujer",15318,8
"25-29","hombre",12705,8
"25-29","mujer",12490,8
"30-34","hombre",10794,8
"30-34","mujer",10180,8
"35-39","hombre",10115,8
"35-39","mujer",9505,8
"40-44","hombre",8642,8
"40-44","mujer",7538,8
"45-49","hombre",6894,8
"45-49","mujer",5988,8
"5-9","hombre",28111,8
"5-9","mujer",26516,8
"50-54","hombre",5539,8
"50-54","mujer",4414,8
"55-59","hombre",4101,8
"55-59","mujer",3364,8
"60-64","hombre",2953,8
"60-64","mujer",2338,8
"65-69","hombre",2313,8
"65-69","mujer",2199,8
"70-74","hombre",1905,8
"70-74","mujer",1736,8
"75-79","hombre",1217,8
"75-79","mujer",1081,8
"80-84","hombre",600,8
"80-84","mujer",545,8
"85-89","hombre",231,8
"85-89","mujer",255,8
"90-94","hombre",79,8
"90-94","mujer",93,8
"95-99","hombre",25,8
"95-99","mujer",69,8
"0-4","hombre",4418,9
"0-4","mujer",4116,9
"10-14","hombre",3186,9
"10-14","mujer",2972,9
"15-19","hombre",3319,9
"15-19","mujer",2544,9
"20-24","hombre",2806,9
"20-24","mujer",2242,9
"25-29","hombre",2452,9
"25-29","mujer",1812,9
"30-34","hombre",1875,9
"30-34","mujer",1453,9
"35-39","hombre",1684,9
"35-39","mujer",1344,9
"40-44","hombre",1517,9
"40-44","mujer",966,9
"45-49","hombre",1106,9
"45-49","mujer",715,9
"5-9","hombre",3720,9
"5-9","mujer",3613,9
"50-54","hombre",908,9
"50-54","mujer",551,9
"55-59","hombre",704,9
"55-59","mujer",427,9
"60-64","hombre",481,9
"60-64","mujer",275,9
"65-69","hombre",316,9
"65-69","mujer",231,9
"70-74","hombre",224,9
"70-74","mujer",145,9
"75-79","hombre",131,9
"75-79","mujer",107,9
"80-84","hombre",63,9
"80-84","mujer",36,9
"85-89","hombre",23,9
"85-89","mujer",20,9
"90-94","hombre",7,9
"90-94","mujer",10,9
"95-99","hombre",0,9
"95-99","mujer",6,9
