"rango_edad","sexo","total","dep"
"80-84",1,2326,6
"80-84",2,1611,6
"85-89",1,1060,6
"85-89",2,751,6
"90-94",1,442,6
"90-94",2,295,6
"95-99",1,300,6
"95-99",2,201,6
"0-4",1,147051,7
"0-4",2,153464,7
"10-14",1,141178,7
"10-14",2,147310,7
"15-19",1,152187,7
"15-19",2,153340,7
"20-24",1,139119,7
"20-24",2,141017,7
"25-29",1,115107,7
"25-29",2,116488,7
"30-34",1,103050,7
"30-34",2,104594,7
"35-39",1,85015,7
"35-39",2,86995,7
"40-44",1,69229,7
"40-44",2,73470,7
"45-49",1,57159,7
"45-49",2,59880,7
"5-9",1,131554,7
"5-9",2,137392,7
"50-54",1,47465,7
"50-54",2,50237,7
"55-59",1,36450,7
"55-59",2,38674,7
"60-64",1,29820,7
"60-64",2,30127,7
"65-69",1,20372,7
"65-69",2,20880,7
"70-74",1,14959,7
"70-74",2,14530,7
"75-79",1,9345,7
"75-79",2,8282,7
"80-84",1,6967,7
"80-84",2,5488,7
"85-89",1,3477,7
"85-89",2,2547,7
"90-94",1,1344,7
"90-94",2,970,7
"95-99",1,725,7
"95-99",2,504,7
"0-4",1,26723,8
"0-4",2,27729,8
"10-14",1,23802,8
"10-14",2,25098,8
"15-19",1,23714,8
"15-19",2,26179,8
"20-24",1,19596,8
"20-24",2,20384,8
"25-29",1,16206,8
"25-29",2,16707,8
"30-34",1,14655,8
"30-34",2,14984,8
"35-39",1,12245,8
"35-39",2,12553,8
"40-44",1,10122,8
"40-44",2,11354,8
"45-49",1,8362,8
"45-49",2,9226,8
"5-9",1,23067,8
"5-9",2,24367,8
"50-54",1,6795,8
"50-54",2,7854,8
"55-59",1,5411,8
"55-59",2,6199,8
"60-64",1,4548,8
"60-64",2,5185,8
"65-69",1,3121,8
"65-69",2,3498,8
"70-74",1,2300,8
"70-74",2,2559,8
"75-79",1,1562,8
"75-79",2,1607,8
"80-84",1,1256,8
"80-84",2,1146,8
"85-89",1,563,8
"85-89",2,481,8
"90-94",1,234,8
"90-94",2,219,8
"95-99",1,206,8
"95-99",2,191,8
"0-4",1,7298,9
"0-4",2,7649,9
"10-14",1,6282,9
"10-14",2,6806,9
"15-19",1,5835,9
"15-19",2,7260,9
"20-24",1,5145,9
"20-24",2,6154,9
"25-29",1,4679,9
"25-29",2,5415,9
"30-34",1,3915,9
"30-34",2,4583,9
"35-39",1,3071,9
"35-39",2,3860,9
"40-44",1,2304,9
"40-44",2,3121,9
"45-49",1,1844,9
"45-49",2,2464,9
"5-9",1,6026,9
"5-9",2,6308,9
"50-54",1,1384,9
"50-54",2,1974,9
"55-59",1,1032,9
"55-59",2,1455,9
"60-64",1,725,9
"60-64",2,1111,9
"65-69",1,454,9
"65-69",2,706,9
"70-74",1,299,9
"70-74",2,427,9
"75-79",1,186,9
"75-79",2,236,9
"80-84",1,121,9
"80-84",2,126,9
"85-89",1,63,9
"85-89",2,62,9
"90-94",1,14,9
"90-94",2,21,9
"95-99",1,8,9
"95-99",2,13,9
