"rango_edad","sexo","total","dep"
"0-4",1,31652,1
"0-4",2,32647,1
"10-14",1,33975,1
"10-14",2,35102,1
"15-19",1,31082,1
"15-19",2,31689,1
"20-24",1,27022,1
"20-24",2,27084,1
"25-29",1,21402,1
"25-29",2,21077,1
"30-34",1,19821,1
"30-34",2,19091,1
"35-39",1,16900,1
"35-39",2,15840,1
"40-44",1,14820,1
"40-44",2,13835,1
"45-49",1,13355,1
"45-49",2,12140,1
"5-9",1,30679,1
"5-9",2,30933,1
"50-54",1,11560,1
"50-54",2,10769,1
"55-59",1,9739,1
"55-59",2,8799,1
"60-64",1,9624,1
"60-64",2,8136,1
"65-69",1,7012,1
"65-69",2,6075,1
"70-74",1,5873,1
"70-74",2,5037,1
"75-79",1,3898,1
"75-79",2,2979,1
"80-84",1,4128,1
"80-84",2,2663,1
"85-89",1,1690,1
"85-89",2,1118,1
"90-94",1,751,1
"90-94",2,529,1
"95-99",1,490,1
"95-99",2,331,1
"0-4",1,128643,2
"0-4",2,133860,2
"10-14",1,135199,2
"10-14",2,140484,2
"15-19",1,142240,2
"15-19",2,144071,2
"20-24",1,126380,2
"20-24",2,125937,2
"25-29",1,110689,2
"25-29",2,106389,2
"30-34",1,108316,2
"30-34",2,101414,2
"35-39",1,93408,2
"35-39",2,85477,2
"40-44",1,82430,2
"40-44",2,77942,2
"45-49",1,70342,2
"45-49",2,65744,2
"5-9",1,122866,2
"5-9",2,126140,2
"50-54",1,61718,2
"50-54",2,58995,2
"55-59",1,49115,2
"55-59",2,47141,2
"60-64",1,44571,2
"60-64",2,41641,2
"65-69",1,32706,2
"65-69",2,30902,2
"70-74",1,24753,2
"70-74",2,22741,2
"75-79",1,17023,2
"75-79",2,15004,2
"80-84",1,13888,2
"80-84",2,11475,2
"85-89",1,6903,2
"85-89",2,5537,2
"90-94",1,2687,2
"90-94",2,2004,2
"95-99",1,1500,2
"95-99",2,1069,2
"0-4",1,93161,3
"0-4",2,97527,3
"10-14",1,91320,3
"10-14",2,93510,3
"15-19",1,99291,3
"15-19",2,101084,3
"20-24",1,87752,3
"20-24",2,88854,3
"25-29",1,71897,3
"25-29",2,70820,3
"30-34",1,65814,3
"30-34",2,62874,3
"35-39",1,55023,3
"35-39",2,51983,3
"40-44",1,46999,3
"40-44",2,44731,3
"45-49",1,41211,3
"45-49",2,38527,3
"5-9",1,85287,3
"5-9",2,88231,3
"50-54",1,36103,3
"50-54",2,33610,3
"55-59",1,30296,3
"55-59",2,27331,3
"60-64",1,26418,3
"60-64",2,22919,3
"65-69",1,20481,3
"65-69",2,16922,3
"70-74",1,15563,3
"70-74",2,12298,3
"75-79",1,10399,3
"75-79",2,7742,3
"80-84",1,9118,3
"80-84",2,5957,3
"85-89",1,4567,3
"85-89",2,2934,3
"90-94",1,1768,3
"90-94",2,1068,3
"95-99",1,905,3
"95-99",2,466,3
"0-4",1,26886,4
"0-4",2,27978,4
"10-14",1,24716,4
"10-14",2,26498,4
"15-19",1,24422,4
"15-19",2,25499,4
"20-24",1,23542,4
"20-24",2,23953,4
"25-29",1,21063,4
"25-29",2,20381,4
"30-34",1,19323,4
"30-34",2,18292,4
"35-39",1,15484,4
"35-39",2,14796,4
"40-44",1,13626,4
"40-44",2,12733,4
"45-49",1,11613,4
"45-49",2,10721,4
"5-9",1,22725,4
"5-9",2,23410,4
"50-54",1,11140,4
"50-54",2,10297,4
"55-59",1,9287,4
"55-59",2,8267,4
"60-64",1,8007,4
"60-64",2,6962,4
"65-69",1,5863,4
"65-69",2,5299,4
"70-74",1,4232,4
"70-74",2,3783,4
"75-79",1,3148,4
"75-79",2,2608,4
"80-84",1,2792,4
"80-84",2,2044,4
"85-89",1,1216,4
"85-89",2,906,4
"90-94",1,468,4
"90-94",2,267,4
"95-99",1,216,4
"95-99",2,124,4
"0-4",1,47681,5
"0-4",2,49733,5
"10-14",1,47865,5
"10-14",2,50005,5
"15-19",1,42016,5
"15-19",2,43348,5
"20-24",1,33425,5
"20-24",2,35639,5
"25-29",1,28739,5
"25-29",2,29710,5
"30-34",1,27251,5
"30-34",2,27442,5
"35-39",1,23444,5
"35-39",2,22845,5
"40-44",1,20407,5
"40-44",2,20165,5
"45-49",1,18656,5
"45-49",2,17891,5
"5-9",1,44624,5
"5-9",2,45774,5
"50-54",1,17294,5
"50-54",2,15886,5
"55-59",1,15552,5
"55-59",2,13626,5
"60-64",1,14507,5
"60-64",2,11922,5
"65-69",1,11099,5
"65-69",2,9069,5
"70-74",1,8605,5
"70-74",2,6916,5
"75-79",1,6029,5
"75-79",2,4322,5
"80-84",1,6037,5
"80-84",2,3952,5
"85-89",1,2500,5
"85-89",2,1548,5
"90-94",1,961,5
"90-94",2,623,5
"95-99",1,579,5
"95-99",2,406,5
"0-4",1,24559,6
"0-4",2,25707,6
"10-14",1,23961,6
"10-14",2,25053,6
"15-19",1,26212,6
"15-19",2,26815,6
"20-24",1,23607,6
"20-24",2,23996,6
"25-29",1,20320,6
"25-29",2,20306,6
"30-34",1,19489,6
"30-34",2,18923,6
"35-39",1,16280,6
"35-39",2,15813,6
"40-44",1,13793,6
"40-44",2,13620,6
"45-49",1,11436,6
"45-49",2,11413,6
"5-9",1,21203,6
"5-9",2,22068,6
"50-54",1,10235,6
"50-54",2,9904,6
"55-59",1,8015,6
"55-59",2,7636,6
"60-64",1,7190,6
"60-64",2,6454,6
"65-69",1,5323,6
"65-69",2,4747,6
"70-74",1,3937,6
"70-74",2,3611,6
"75-79",1,2712,6
"75-79",2,2194,6
